,center_index,t_mean,t_std,t_count,t_sem,t_sem_check,x,y
21,352000_-992500,736.0294444444445,29.423919335890073,18,6.935284297164616,6.935284297164616,352000,-992500
22,352000_-993000,688.52,3.2977204247782987,6,1.3462887258435048,1.3462887258435048,352000,-993000
23,352000_-997500,725.9380952380952,7.991817452274369,21,1.7439575435864967,1.7439575435864967,352000,-997500
24,352500_-980500,16.492857142857144,6.4968076194156685,35,1.0981609203403595,1.0981609203403595,352500,-980500
25,352500_-990500,724.7428380667087,1.9090637568177247,16,0.47726593920443117,0.47726593920443117,352500,-990500
26,352500_-993000,704.93,23.339725286956256,18,5.50122600714597,5.50122600714597,352500,-993000
27,352500_-993500,777.26,11.601025816711193,5,5.188136466979248,5.188136466979248,352500,-993500
28,352500_-997000,704.5331578947367,5.079807577973748,19,1.165387783422088,1.165387783422088,352500,-997000
29,352500_-997500,713.5550000000001,0.5868986283849036,2,0.4150000000000489,0.4150000000000489,352500,-997500
30,353000_-980500,37.42914285714286,7.918058797839936,35,1.338396216436997,1.338396216436997,353000,-980500
31,353000_-990500,727.2356961812743,7.0980777122767185,30,1.2959257593128743,1.2959257593128743,353000,-990500
32,353000_-993500,802.519,8.358766529502791,20,1.869077016801824,1.869077016801824,353000,-993500
33,353000_-994000,771.89,5.49963635161452,4,2.74981817580726,2.74981817580726,353000,-994000
34,353000_-996500,717.2490909090909,3.9546237609801738,11,1.1923639274723048,1.1923639274723048,353000,-996500
35,353000_-997000,704.3230000000001,4.242693196020084,10,1.3416573912722694,1.3416573912722694,353000,-997000
36,353500_-1000000,759.565,0.7990306627408357,2,0.5650000000000261,0.5650000000000261,353500,-1000000
